residence_type,no_of_dependent,office_premises,cibil score,cibil enquiries,inward_returns,pos_vintage,pos_settlement,incorporation_year,card_sales_percent_of_total_revenue,variation_in_card_sales_percent,monthly_pos_collection,margin_percent,business_expenses_percent,personal_expenses_percent,emi_capacity,net_emi_capacity,abb,current_state,no_of_pos_installed,loan_tenure_in_months,pos_sanctioned_amount,owned,total revenue,income_after_expense,existing_emi,abb,debt/income,abb/income,max_emi_capacity,ls_credit_score,ratings,suggested_status,system_status,diff,interest_rate,status
rented,0,rented,676,13,0,0,7,2014,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.319733333,99,rejected,rejected,0,0%,rejected
owned,2,owned,694,2,0,0,15,2013,0,0,0,0,0,0,0,0,0,rejected,1,0,0,2,0,0,0,0,1,0,0,0.449166667,99,rejected,rejected,0,0%,rejected
owned,0,owned,737,2,4,12,6,2008,6,0,44234,20,30,20,73723.33,56544.33,15000,lms,2,12,185023.762,2,737233.3333,73723,17179,15000,0.233020903,0.203464319,4937.9,0.580628215,6,acepted,lms,0,23%,accepted
owned,0,rented,676,7,0,12,22,2008,7,12,18396,30,40,34,20498.4,9498.4,12000,not_interested,1,12,75254.7541,1,262800,20498,11000,12000,0.536637721,0.585422968,0,0.543804784,6,acepted,not_interested,0,23%,rejected
rented,0,rented,568,1,0,0,25,2014,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.355933333,99,rejected,rejected,0,0%,rejected
owned,0,rented,715,1,0,18,18,2014,15,,88649,20,40,30,35459.6,35459.6,35000,lms,2,12,300262.6667,1,590993.3333,35460,0,35000,0,0.987027637,10638,0.808204899,3,acepted,lms,0,21%,accepted
rented,2,rented,615,0,0,12,20,2016,8,15,24772,25,25,30,15482.5,15482.5,12000,lms,1,12,120157.377,0,309650,34836,0,12000,0,0.344471237,10450.8,0.569151038,6,acepted,lms,0,23%,accepted
rented,0,rented,576,5,0,10,26,2016,12,,354154,17,50,32,90309.27,64309.27,15000,lms,1,12,500000,0,2951283.333,90309,26000,15000,0.287900431,0.166096402,1092.7,0.416388559,8,acepted,lms,0,25%,accepted
rented,2,rented,563,7,15,7,25,2017,70,17,1161052,15,50,38,29855.62286,25955.62286,15000,lms,2,12,225233.9794,0,1658645.714,29856,3900,15000,0.13062701,0.502411576,5056.8,0.421408441,8,acepted,lms,0,25%,accepted
rented,0,rented,715,9,0,0,4,2014,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.36555,99,rejected,rejected,0,0%,rejected
