Jan,Nov
Dimsum Democracy,Pandit Ji Parantha Hut
Agent Jack's By Brewer Street,UFO
Muaah Bakery,Tav Prasad Food Junction
Captain's Table,Recreio
Red Frog,The New Koyla Kitchen
Food Club,Zizo
Bhola Dhaba,The Tea Room From Blossom Kochhar
Bharat Chicken Inn,Milan Sweet House
Chill House,Sonya Bakery Cafe
Liquarium,Weird Time Food
Phantom,CDB Cafe & Sports Edition Lounge
Jack Po!tato's,Uncle G Amritsari Food Junction
Tobasco Kitchen,Oberoi Dhaba
Midnight Fries,The Library - The Leela Palace
Crazy Tawaz,Zune - Piccadily Hotel
Sardar Inland China,Sizzling Platters
Three Tuns,Shri Radha Ki Rasoi
Food Sixteen,Suri Saab Restaurant
Timeout,Pizza Station Chinese Fast Food Chaap Hi Chaap
Bikku Bakes,Malabar Foods
Urban Chopstick,Burger Unlimited Kitchen
The BrickLane Cafe,"Soups, Snax N More"
Spice & Flavours,Kabab Hut
Dawat E Darbar,The Garden Terrace - Maidens Hotel
Indi Spices,Chawla De Mashoor Special Nan
"Chutney, Bar + Tandoor - The Metropolitan Hotel & Spa",Pindi Meat
Grillz Fries & More,Bharat Chicken Inn
Fabulous Cake Bites,Tikka Town
Gullu's,CJA's
Fresh From Oven,Ama Thakali
Standard Sweets,Chinese Hut
Roll's Royce,Velvet Room - The Sky Bar
#InstaFreeze,Fudroo.com
Madras Cafeteria,Bhogal Chole Bhature Wala
Cafe DT,Sawad-e Ice Cream Rolls
Veer Ji Di Hatti,Yolks on Fire
Shillong View,Man Vs Food The Kitchen
Hunger Cure,China Gatherings
Bhogal Chole Bhature Wala,Roll Club
Republic of Noodles - Lemon Tree Premier,Angeethi Xpress
Oberoi Dhaba,Sultanate of Spice
Roadhouse Cafe,Food Club
Zune - Piccadily Hotel,Citrus
Citrus,Khalsa Restaurant
The Heroes Bistro,Malais By Anands
The District Cafe,Udupi Krishna
The Pastry Shop - Radisson Blu Plaza Delhi,Chawla's Tandoori Junction
Dhaba Patthon Da,Hunger Cure
Blues Cafe & Hookah Lounge,Caravan Resto Bar
Turant,La Baguette - The Imperial
Mohit di Hatti,Burgzz Bee
Cocoa House Express,7 Spices
Chawla's Tandoori Junction,Deli Belly
IndoCheen,High On Rolls
K Klub Cafe Lounge,Cuisine Art Family Restaurant
Dawat-E-Chaman,Variations
Urban Spices,Bakery Chef
K 335,Cake Plaza
@ Links - Radisson Blu,Bromfy Public House
R.P.W Pizza,Lust - Radisson Blu Kaushambi Delhi NCR
Cake Me Over,Nawab's Rasoi
Looters Pizzeria,Mikky Peshawari
Nawab's Rasoi,Changezi
Hunger Cure Express,Chill
Trending Eats,The BrickLane Cafe
Chawla Kitchen,Viva Hyderabad
Chawla De Mashoor Special Naan,K Klub Cafe Lounge
Pizza Circle,Aamantran Bangla
Suri Saab Restaurant,Blue Water Grille Express
Platefull,South Indian Corner
Kerala Cafe,Chefow
Khaane Ki Dukaan,Dili's Chawla Chik Inn
Variations,Comesum
The Foodie's Kitchen,No Name-Taste Hi Kaafi Hai
Zombiez,Sweet Nothings By Avanti Mathur
Mad Batter,Showshaa Nightclub
Oh Buoy,Gullu's
World Trail,Tulicakes
Wooden Barrel,Himalaya Food Corner
Anna,Sugar Threads
Shudh,Twenty Four Seven
Sai Guru Dhaba,Baked Love
Appus Hotel,Anupam Restaurant
ANF Kitchen Express,Gulnar
Radhey Shyam Subhash Kumar Special Chole Bhature,Jade Garden
Kashmir Sweet Shop,Kenny Rogers Roasters
Banaaras,KK Da Dhaba
The Cheezy Surprise,Root Spice
Hurry's Paratha,Republic of Chicken
Dilli Light,Faasos
Playboy Cafe,Peppers & Pipes
Jaiveer Naan & Chaap,Sip n Bite
Halki Aanch,Master Chef Fast Food
Chulha Punjabi Da,The Orient Tavern
Taste of Degchi,Brooklyn RestoCafe
Sip n Bite,Street Hawkers
Lord William Tea Lounge - Hotel The Royal Plaza,Fabulous Cake Bites
Pudding & Pie,English Dairy
Samavar - The Ashok,Zaika
Louise's Patisserie,Alkauser
Jade Garden,The Food Store - DoubleTree by Hilton
Milan Sweet House,Shawarma Xpress
Mughlai Treat,Fresh From Oven
Rolls Hut,South Indian Snacks
Kung Fu Chow,Fantom Bar Exchange
Chilli Hot,Bhoj Bhaat
Delite Hotel,The Taste Restaurant
Kabbaba,Hunger Cure Express
Spice It - Ibis Delhi Airport,Punjabi Haandi
Saanjhi Rasoi,Rads Everyday
Fabelle Chocolate Boutique - ITC Maurya,Tobasco Kitchen
Kerala Cafe,Kake Da Hotel
Tic Tac Toe,Diamond Cafe
Raj Mahal Delux,Appetite Restaurant
Tewari Bros Confectioners,Sapra Pastry Treat
Dark House,Punjabi Jaika
Sapra Pastry Treat,Sher 'A' Punjab Bhojnalya
Bite & More,Midnight Fries
Juliet's House,Taste Away
Zooby's Kitchen,What Else Cafe
The New Koyla Kitchen,Chulha Punjabi Da
Hyderabadi Biryani Parlour,Rasili Chaat
Sonya Bakery Cafe,Saanjhi Rasoi
The Hangar - Bar & Lounge - Holiday Inn,Chaudhary Sweets Corner
Shree Bikaner Mishtan Bhandar,Grover Mithaivala
Badmash Company - The ______ Cafe,Sardar Inland China
Rao's Meeting Point,Cake Factory
Open Oven,Moksha
New South Delhi Restaurant,Lord William Tea Lounge - The Royal Plaza
Sahib e Aalam,Halki Aanch
Raju Chinese Food,Kehar Cafe & Restaurant
Khalsa Restaurant,Not Just Dilli
The Chef,Sanjhi Rasoi
Spiritual Bar & Lounge-DoubleTree by Hilton,Kabab And Tadka
Grover Sweets,Appus Hotel
The Secret Recipe,The Tandoori Times
Hungry Buffoons,Teflas
Sher 'A' Punjab Bhojnalya,Paradoxx
Tasty Twist,The Mohans Resto Bar
Bite Moment,Caramel - Vivanta by Taj
Punjabi's Eating Hub,Kasba Flavours
Tav Prasad Food Junction,Bake Club
Chinese Dragon,Hotel Rajvanshi Restaurant
Sweet Nothings By Avanti Mathur,CK 2
Hungry - I,Peshawari Chicken Corner
Rasoraj Sweets,Wooden Barrel
Golden Grill,Caraway - The Grand New Delhi
Flury's - The Park,Kanwarji's
Ashirbad,Kumar Hotel
Adish,Mithaas Sweets
The Tea Room From Blossom Kochhar,Lotus Garden
Anupam Restaurant,Ambersari Dhaba
Angeethi Se,Sahib e Aalam
CDB Cafe & Sports Edition Lounge,Moolchand's
Moksha,Sohan Sweets
Al Bake,Angithi
Burger Junction,Polo Lounge - Hyatt Regency
Multan Moth Bhandar,Trending Eats
Viva Hyderabad,Savannah Bar - Radisson Blu Plaza Delhi
Pandit Ji Parantha Hut,Assam - Kingdom of Dreams
South Indian Corner,Kafe Republic
Tulicakes,Biryaniwala
Kavita's Restaurant,Hungry - I
Tashte,Anjlika
The Bunk House,Shillong View
Madhuvan Chinese Fast Food,Zaaika Junction
Handi,Do Not Disturb
Om Corner,Frozen fantasy
Roti Boti,Mughlai Treat
Ghar Ka Chulha,Pal Refreshment Corner
Hot Joint Fast Food,Hot Joint Fast Food
What Else Cafe,Assam Food Stall
Shri Bankey Bihari Brajwasi Rasgulle Wala,4 Barrels Café & Lounge
Janta Bakery,Lajawab Chef Cart
Pachranga,Tummyy Tull
The Tongue Twister,Wonder Bites
Andaaz E Paranthas,Gullu's
CK 2,The Cake Shop
Changezi,Chinese Dragon
Pintu Restaurant,Sai Guru Dhaba
Number 31,Perfect Bake
Kerala Hotel,Open Oven
Mikky Peshawari,Royal Spice
Mithaas Sweets,Spiritual Bar & Lounge-DoubleTree by Hilton
Healthy Food Station,Cafe Kangaroos
Chaayos Delivery,Flury's - The Park
Chic On,Bistro
Pishori Chicken,Grillz
Grub Patio,Keeva Lounge & Bar
Lotus Garden,Ammu's South Indian Restaurant
Caravan Resto Bar,The Belgian Fries Company
Kasba Flavours,Sona Pure Veg Paradise
The Cake Shop,Rasoi
Krispy Fried Chicken,Bunty Chaap Tandoori Junction
Cake Factory,The Model Town Cafe
Sanjhi Rasoi,Shudh
Tummyy Tull,Om Saravana Bhavan
Halal Pizza Fun,Gurdasman Punjabi Khana & Caterers
Bombay Vada Pav,Blues Cafe & Hookah Lounge
Rasoi,24/7 Bar- The Lalit New Delhi
The Mohans Resto Bar,Chin 10
TFL-The Food Label,Jawahar Hotel
CLUB-4U,@ Links - Radisson Blu
Peppers & Pipes,Kabul Palace Restaurant
Fancy Fork Eatry,The Bubble Tea
Grub Center,Daddoo's
The Good Pasta,The Big Bun
Twenty Four Seven,Just Vada Pav
Punjabi Jaika,Penta Cafe
Alkauser,Bikku Bakes
24/7 Bar- The Lalit New Delhi,Bikano's Chat Cafe
Gullu's,The Blue Tandoor
Mahi Rasoi,Cake Hub
Rasili Chaat,Golden Grill
Kumar Hotel,The Cake Cafe
Wazwan,China Wall
Treat Up Cafe And Restaurant,Dilli Darbar
No Name - Taste Hi Kaafi Hai,South Indian Hut
The Atrium - The Imperial,WoW Biryani
Ada e Handi Restaurant,Havmor Ice Cream
Bistro,Di Miso
Aura - The Claridges,Mosaic - Country Inn & Suites by Carlson
Sohan Sweets,Parantha Gurus
Malais By Anands,Bablu Chic Inn
Kolkata Hot Kathi Roll,Pakwan
Sultanate of Spice,Kerala Cafe
Kaveri,Refuel
Carnations Dream Oven,Firangi Tadka
Assam Food Stall,Cook Sum Curry
Zaffran - The Bristol Hotel,Ghar Ka Chulha
Bansi Wala Sweets,Delhi Spicy
Hot Paprika,Khan Omlet Corner
Uncle G Amritsari Food Junction,Mahi Rasoi
Chinese Quizen,Pintu Restaurant
Flashback Midnight Hunger,The Cube
Shah Ji,Roll Joints
The Cinnamon Kitchen,24x7
Capital Curry,Whisk A Wish
The Tandoori Times,China Hut
Gulnar,Chic On
Regard Restaurant,Clemency
3D Junction,Pinxx- Hotel Central Blue Stone
Rasoi,Hakka
The China Town,Kulcha Cafe
Chill,Motuu's Terminus
The Blue Tandoor,The Vilayati Dhaba
Teflas,BunkYard Cafe
The Connaught Bar - Radisson Blu Marina,Aura - The Claridges
Cafe Turtle,Zaffran - The Bristol Hotel
Green's,Dark House
Slounge - Lemon Tree Premier,Hot Paprika
Tashi Delek Food Stall,TFL-The Food Label
Grover Mithaivala,Singh's Delhi Delight
Yummy Tummy Corner,Park Balluchi Express
Galina Restaurant,Raj Restaurant
Kafe Republic,Sat Guru Dhaba
Insomnia - Taj Vivanta,Kaveri
Assam - Kingdom of Dreams,Viva Hyderabad
Fudroo.com,Hyderabadi Biryani House
Cafe Gainz,Jasmine - The Royal Plaza
English Dairy,Baker's Bite
Pikniks,RTW
The Belgian Fries Company,Uncle's Kabab Point
Hot Pot,The Juice Cafe
Roti Te Boti,Shree Bikaner Mishtan Bhandar
Ridhi Sidhi,The Connaught Bar - Radisson Blu Marina
Cafe Cup of Life,Din-e-ilahi
Bhoj Bhaat,Hot Pot
Deli 63,Om Sweets
Punjabi Zaika,Madras Cafe
Kaleva Express,Halal Pizza Fun
Au Bon Pain,Pandey Chinese Hut
Cafe Amigo,United Food Corner
Chawla's,Hyderabadi Biryani Parlour
Anands,Kake Da Express
Wow Noodle,Delhi Diner - Clark's Inn
Anna Ka Dosa,Chawla Fast Food
Angithi,Punjabi Zaika
Om Saravana Bhavan,Anands
Pakwan,Chutney D'Lite
Polo Lounge - Hyatt Regency,Handi
Pandey Chinese Hut,THS - The Hunger Street
The Chai Story,Shree Jee Rasoi
Cakes 'N' Bakes,Chinese Quizen
Dosa Junction,Little Chef
Mochamania,Carnations Dream Oven
PM 2 AM Food Bank,Burger Junction
Kanwarji's,Bunny's Bite N Sip
KPG Express,Romi da Dhaba
Mahek Dhaba,Wheelyz
Frozen Fantasy,Crave Busters
Asia Seven Express,Nawabi Mughlai Zaika
Yo Yo China Town,Cafe Gainz
Bankura - The Coffee Shop,Chaayos Delivery
Delish BBQ,Dragon's Maharani
New Frontier Hotel,Deli 63
Captain's Resto Bar,Yummy Tummy Corner
Fabulous Cake Bites,Chinese By Nature
United Food Corner,Shree Rathnam
Chinese Hot Corner,Ninkasi Imperial Brews & Cookery
Sonya Bakery Cafe,Orange Chopsticks on Wheels
Sweet Life By Henna,Ridhi Sidhi
Cake24x7,Slounge - Lemon Tree Premier
6 Pack Momos,K 335
Hangchuaa's Chinese Food Corner,Yu Turn
Sutta Ceuticals Express Cafe,Rolls Hut
Bablu Chic Inn,Bistro 37 - The Patio
Sagar Dhaba,Kumar Pastry Shop
Crave Busters,Cafe Shloka
China Wall,Kanagam South Indian
Cakesisland.com,V's Bake Shop
Sugar N Spice,Rao's Meeting Point
Uncle's Kabab Point,Mosaic - Country Inn & Suites by Carlson
Vee Jay's,Yum Yum
Spice Aangan,Dosa Junction
4 n 44 Restaurant & Bar,Sethi's Food Corner
Master Chef Fast Food,New South Delhi Restaurant
Sethi's Food Corner,Cafe Amigo
Romi da Dhaba,Roti Te Boti
Nawabi Mughlai Zaika,Aggarwal Sweets India
Chawla Fast Food,Pachranga
Kumar Pastry Shop,Desi Kalika Hut
Viva Hyderabad,Flying Cakes
Roll Joints,Food Plaza
Whisk A Wish,Neha's Biscotte
Truffle Muffle,19 Flavours Biryani
Tadka 4986,Cake On Wheels
Aalis Kathi Kabab,Bunny Chow
Darya,Chillies 'n' Spices
South Indian Snacks,Chin Chow
Refuel,Chawla's
Showshaa Nightclub,Crave Busters
No Name-Taste Hi Kaafi Hai,New Frontier Hotel
Aurangzeb Rd,Green's
Burger.in,Gourmet Banta Bar
Yumm Biryani,Aggarwal Sweets
N. Iqbal Restaurant,Grover Sweets
Jasmine - Hotel The Royal Plaza,Green Restaurant
Punnu Biryani,Adish
Shamji Sweets,Ashoka Restaurant
Chinese By Nature,Amrit Family Rasoi
Samosa Station,Mochamania
Spice Aangan Express,Public Cafe
Incrivel Goa,Flavour's
Ek Aur Toast,The Heroes Bistro
Sat Guru Dhaba,Cakes 'N' Bakes
Yolks on Fire,Kaleva Express
Monga Sweet House,King of Spices
Cafe 121,Food United
WokTok - The Grand New Delhi,Madras Cafe
Khan Omlet Corner,24/7 Pastry Shop - The Lalit New Delhi
Eat Me,Spice & Flavours
Healthy Bite,Funk House Cafe
Bikano Chat Cafe,Sweet Life By Henna
Citrus Cafe - Lemon Tree Hotel,Kerala Hotel
Pal Refreshment Corner,Pizza Circle
KK Da Dhaba,Oriental Wok
Desi Junction,Breaking Bread
The Orient Tavern,Ada'e Haandi
Royal Green Pure Veg,More Than Cafe
Anjlika,Hot n Spice
Baked Love By Vatsala,Sna-X Point
Andaaz-E-Lucknow,Amuse Lounge
Ambersari Dhaba,Sushiya Express
Bakes & Byte,Touch of Punjab
Bunny's Bite N Sip,Paranthas N More
Food Plaza,Panditjee
Punjab Restaurant,Three Tuns
Ashoka Restaurant,Grand Kairali
Yum Yum,Gokul Foods
Satellite Pizza,Southern Flavours
Dilli Darbar,Baker's Bite
Grillz,Bake Day
Mini Shop,Pishori Chicken
Welcome Cafeteria,Sagar Dhaba
Ammu's South Indian Restaurant,Twigly
Rads Everyday,The China Town
Zaaika Junction,World Bites Restaurant
Momo-Cha,Mithaas Sweets
Oxy Lounge,Cakes N More
Neha's Biscotte,Hot Pot Snacks
Touch of Punjab,Selfie
Noodle Oodle,Punjab Restaurant
Chawla Dillivala,Chew Mantar
New Bombay Bar-Be-Que,Club India Cafe & Restaurant
Wrap & Roll,Tandoori Zaika
Bake Club,Phantom
Tasty Fare,Baljeet's Amritsari Koolcha
Adyar Ananda Bhavan,Cherry Fresh
Satvik Rasoi,Shri Bankey Bihari Brajwasi Rasgulle Wala
The Cakelicious Factory,The Cinnamon Kitchen
Hot Pot Snacks,Laxmi Ice Cream
Tandoori Nights,Palate Chef
Pinxx- Hotel Central Blue Stone,9 Curries
Spinns Resto-Bar,PM 2 AM Food Bank
Delhi Diner - Clark's Inn,Modern Zaika
Grillz,Tadka 4986
Blue Water Grille Express,Cafe Turtle
Abhishek Restaurant,Gulfam Kashmiri Wazwan
Gayway Cafe,Sonya Bakery Cafe
Grand Kairali,Ashok Meat Wala
Burmese Kitchen Plus,Ballu Pistol Da Dhaba
Caramel - Vivanta by Taj,Regard Restaurant
V's Bake Shop,Incrivel Goa
China Town Sizzlers,Shudh Mangalam
Mama's Chinese Kitchen,Oro The Bar - Radisson Blu
Chawla's,Food 4 Nite
Fruti Crown,Punjabi Grillz
Park Balluchi Express,Chai & Chant
t Lounge by Dilmah,Mama's
Food 4 Nite,Shake Shook Cafe
Appetite Restaurant,Pizza Plus
Hot Meals,Mukesh Dhaba
The Cube,Punjabi Food Inn
Sohan Chicken Corner,Rocking Roll
Kulcha Cafe,Pep Box
Grill King Kabab & Curries,Poku
Breaking Bread,Live Wok
The Master's Fast Food Centre,Luira Restaurant & Bar
Kwality Pastry Parlour,Truffle Tangles
High On Rolls,Babaji Restaurant
Firangi N More,Anna
Hot n Spice,Spinns Resto-Bar
Biryaniwala,South Indian Cafe
Shree Rathnam,Republic of Noodles - Lemon Tree Premier
Chinese Hut,Dilli Grillz
Royal Empire Meat Shop,Bablu Chick-Inn
Sartaj Food Corner,Anupam Restaurant
Walking Street,Insomnia - Taj Vivanta
London Grill Co.,Prince Momo Point
Aggarwal Sweets India,Firangi N More
Manjeet Chicken Centre,Cocoaaahhh
WoW Biryani,Best 1 Bake
Jawahar Hotel,Behind The Bar
Dilli Gate,Connexions - Crowne Plaza
Kwality Kebabs,Hangchuaa's Chinese Food Corner
Smoky Chettinad,Al Bake
Club India Cafe & Restaurant,India Bistro
M J Dosa Corner,Punjabee's Darbar
Chawla Chicken,Sharma Sweets
Tandoori Zaika,Waho Tenzin Restaurant
Cakes N More,Curry Shurry
The Ice Cafe,Hot Meals
Sanskriti Foods,Food Factory By Lalit
Neha's Treat,Abhishek Restaurant
Raj Restaurant,Comesum
Mohan Dhaba,Chawla Kitchen
Bistro 37 - The Patio,Pikniks
Diamond Cafe,Late Lateefe
Cococasa,Sharma Chaat Bhandar
Bromfy Public House,Unique Pastry Shop
Baker's Bite,Hurrys Paratha
Hotel Rajvanshi Restaurant,Rise Up
Chillies 'n' Spices,Veg Ex
Papa Veg Chinese Food,Chilli Dragon
Bikano's Chat Cafe,Shamji Sweets
Royal Spice,Sai Rasoi Takeaway and Family Restaurant
A Piece of Paris,Jaiveer Naan & Chaap
Food For Thought,Capers
Food United,Fast N Feast Resturant
The Diet Kitchen,A Piece of Paris
Chefow,Kwality Pastry Parlour
Bonjour Chocolates,Momo's Point
Orange Chopsticks on Wheels,Dahiram
Aggarwal Sweets,Aggarwal Restaurant
Ballu Pistol Da Dhaba,Yamuna Cafe
Taste Away,ANF Kitchen Express
China Hut,Burmese Kitchen Plus
Raj Chinese Food,Chinese By Nature
The Punjabiis,The Cakelicious Factory
Best 1 Bake,Urban Cuisine
Oro The Bar - Radisson Blu,New Bombay Bar-Be-Que
Chin Chow,Batra Bakers
27 Degrees Kitchen,New Cake Palace
Bikaner Sweets Corner,Roll n Roast
Pindi Meat,Granma's Homemade
Mosaic - Country Inn & Suites by Carlson,Kwality Kebabs
The Bubble Tea,The Sugar Story
RTW,The Kahuna
Cocoa House,Chintamani's Namkeen
Penta Cafe,4 n 44 Restaurant & Bar
Granma's Homemade,Darya
Dragon's Maharani,Zabardast Indian Kitchen
The Vilayati Dhaba,Desi Junction
Capers,Orchid - Fortune Park DJ Avenue
Yadav Namkeens & Bakers,WokTok - The Grand New Delhi
Crave Busters,Kakaji Corner
Comesum,Yo Yo China Town
Palate Chef,Dieto Cafe
Sahni Fish Corner,Rendezvous Calcutta
Gulfam Kashmiri Wazwan,Ramesh Vaishno Dhaba
Hang Out,Manjeet Chicken Centre
Baljeet's Amritsari Koolcha,The Smokin' Grill by The Flashback
Pling - Pullman New Delhi Aerocity,R.P.W Pizza
Connexions - Crowne Plaza,More Than Just Cakes
Sharma Bakers,Mi Amor
Truffle Tangles,China Town
Chew Mantar,Mama's Chinese Kitchen
Twisted Tacos,Cakeophony
Southern Flavours,Grillz
Kabab Hut,Al Jawahar
Batra Bakers,Scruples Bar - The Pllazio Hotel
Funk House Cafe,Breadz
BBQ Kingdom,Raj Chinese Food
Gupta Sweets,The Epicureans
Mukesh Dhaba,Cocoa House
Chef Joint,Kolhapuri Veg Non Veg Food's
Stallion,Jumghut
4700BC Popcorn,The Joew
Aggarwal Restaurant,The Diet Kitchen
Wheelyz,Hello Sichuan
Red Moon Bakery,Italino Pizza Inn
Tikka Junction,Tashte
A W Foods,Dimsum Vs Sushi
Get Grubs,Star Food Trucks
MeSoHungry,Chef Joint
Grill Master,Make My Day
Di Miso,A W Foods
Kofuku,Fabulous Cake Bites
Anupam Restaurant,Truffle Muffle
Komachi,Naturals Ice Cream
Root Spice,VC's Food Paradise
Tandoori Delights,King's Cottage
Tapas - Jaypee Siddharth,Delish China
All About Biryani,Karan's Vaishno Dhaba
Jumghut,Al Umar Chicken Point
Chinese Bite,Earthen Spices
The Walled City - Café & Lounge,BarShala
Cafe TAB,Chicken n Spice
Maharashtra Foods,Cakette
THS - The Hunger Street,Ring of Fire
Sri Krishna Udupi Restaurant,Spice Aangan
Flying Cakes,Bakes & Byte
Scruples Bar - The Pllazio Hotel,Sky Grill
Bar-Be-Cue By Cinnamon Kitchen,New Nizam's Kababs & Biryanis
The Kitchen Exotica,Andaaz-E-Lucknow
Crossroad Bar and Restaurant,Chaap Point
Bhatia Hotel,New Bengal Sweets
Shri Ram Restaurant,Rama Vaishnav Bhojnalya
Jalsa Lounge,Diet Dabba
Bishan Swaroop Chaat Corner,The Punjabiis
Cakes Town,Gulnar - Hotel Janpath
Chhote Nawab,Cravings By Arshi Dhupia
Flamez,Chinese Hot Corner
Gangaur Sweets,Crossroad Bar and Restaurant
Cravings By Arshi Dhupia,Chatore.e.e
Burger's Kitchen,Welcome Cafeteria
Food Factory By Lalit,MeSoHungry
Anands Chic Inn,Fruti Crown
South Indian Hut,Moroca
Not Just Dilli,The Oberoi Patisserie and Delicatessen
Dilli Grillz,Shri Ram Restaurant
Madras Cafe,The Atrium - The Imperial
China Town,Faquiri - Sufi Cafe & Couture
The Oberoi Patisserie and Delicatessen,Nazim's Kathi Roll
Rumours Takeaway,Rumours Takeaway
Breadz,Chilli Hot
Coalition Cafe,The Kitchen Exotica
Parantha Gurus,Aalis Kathi Kabab
Chintamani's Namkeen,29 Foodieez
Thirsty Scholar Cafe,Adyar Ananda Bhavan
Just Chinese,Sai-Yo!
Nescafe,Lionfresh.com
New Cake Palace,Crispy Crust
King of Spices,Mahek Dhaba
Punjabi Grillz,BBQ Kingdom
Channi Pishori Chicken,Traffic Stopper
Sona Pure Veg Paradise,Harry's Kitchen & Grill
Shree Ram Palace,Kathi Express
Ramesh Vaishno Dhaba,Oye Punjabi's
Cakette,Handi X-Press
Kathi Express,Jalsa Lounge
Bean There,Ananya Foods
Bangla Sweet Corner,Mini Shop
Mughal Sarai,Punjabi Pakwaan
Nirula's Ice Cream,Healthy Bite
Godfather Lounge & Jazz Bar,Zoe
South Indian Cafe,Nirula's Ice Cream
Chatore.e.e,Tapas - Jaypee Siddharth
Ananya Foods,Orchid - Fortune Select Global
Paradoxx,Mohan Dhaba
Orchid - Fortune Select Global,KPG Express
Great Wall,Rasoraj Sweets
Pep Box,Thirsty Scholar Cafe
Cake Hub,Delite Hotel
Ashok Meat Wala,Awadh E Lazeez
Shree Nandhini Cafe,Sanskriti Foods
The Grub House,Pasta Hut
Baker's Bite,Mitra Da Dhaba
Mr Burger,Chaska
Doggy Style,Khan Chacha
Faquiri - Sufi Cafe & Couture,Muradabadi Shahi Biryani & Chicken Corner
Modern Zaika,Hot n Hot
Kabab And Tadka,Banjara
Cafe Ping Pong,The Kitchen
Food Theory,DRS Club
Hello Sichuan,Sadabahar Hotel
Ase China,Mother Dairy Ice Cream
Awadh E Lazeez,Masti Curry
GJ's Café Querido,Bhatia Hotel
China House,Sahni Fish Corner
Hell 2 Heaven,Satin - Radisson Blu
Moroca,La Pino'z Pizza
Din-e-ilahi,The Burger Home's
Machan,Channi Pishori Chicken
Baba Food Avenue,Royal Empire Meat Shop
24/7 Pastry Shop - The Lalit New Delhi,Banzara's
Do Not Disturb,Neha's Treat
Kabab Khan,Lost in Frost
Penta Cafe,Foodiee Night
TCD Cake & Bake,Deepak Rasoi
"Ada ""e"" Haandi's",Hell 2 Heaven
More Than Cafe,Backstreet Kitchen
Choco House,Chicken Bytes
Shudh Mangalam,China Hot & Hot
Gourmet Banta Bar,Rocky's Den
Chawla's Unique Chicken Corner,Frokoyo
Paranthas 21,Konetto Pizza
Madhuvan Chinese Fast Food,Chawla's Tandoori Xpress
24x7,Dilli Gate
Simson's Famous 'N' Delicious Dosa Corner,Komachi
Kakaji Corner,The Master's Fast Food Centre
Sachdeva Chicken Corner,Pinto's Cafe
New Hyderabadi Biryani House,Sugar N Spice
4 Barrels Café & Lounge,Chawla Chicken
Food Tamasha & Co.,BakeAffair
The Juice Cafe,Bhola Dhaba
Cake Plaza,Curries N More
The GolChakkar,The Foodie's Kitchen
Deepak Rasoi,Underground Restaurant
The Grill @ 76,M J Dosa Corner
Chetana Bakes,Chawla's Unique Chicken Corner
Haji Mohd. Hussain,New Punjabi Dhaba and Caterers
Cafe Filter,Pose - Hilton Garden Inn
Punjabi Chaska,Puran Chand Ambala Wale Di Hatti
Mama's,Machan
2 Floors Up - Country Inn By Carlson,Tewari Sweets
Rama Vaishnav Bhojnalya,Kit Kat Kitchens
Duggal's Rasoi,Madhuvan Chinese Fast Food
Streets of Mumbai,4700BC Popcorn
Al Umar Chicken Point,Hot Spot Roll Corner
Mother Dairy Ice Cream,Royal Green Pure Veg
Rajdharam,Chinese Bite
Maakhansingh,New Durga Corner
Kabul Palace Restaurant,Hot Shop
Chef's Paradise,Maakhansingh
Punjabee's Darbar,Habibi
Rocky's Den,Maharashtra Foods
Rendezvous Calcutta,Haji Mohd. Hussain
Gokul Foods,BarShala
Venus Dhaba,Bhane
Chic Inn,Hang Out
Bizibean,New Hyderabadi Biryani House
The Burger Home's,Streets of Mumbai
New Durga Corner,Rajdharam
Orchid - Fortune Park DJ Avenue,Tandoori Tadka
Madras Cafe,Ira - The Waterside Bar - ITC Maurya
The Artful Baker,Al Changezi
Sanjha Chulha,Bikano Chat Cafe
Udupidarshini Veg Restaurant,Punjabi Chaska
Make My Day,What A Shot
New Bengal Sweets,Rapti Chinese Food
Chicken n Spice,Janta Bakery
Chilli Dragon,Nine 2 Eleven
Behind The Bar,Mohit di Hatti
Daddy's Grill,Milestone 2000
Havmor Ice Cream,Grain And Salt
Zaika Hindustani,Pure Bliss
Juice Lounge,Tashi Delek Food Stall
Circle Cafe and Bar,RD Burger Bistro
Rise Up,The Artful Baker
Handi Mitran Di,Last Chance Cafe
Cafe Tech,VFC Express
Late Lateefe,Amritsari Express
Anupama Sweets and Restaurant,2 Floors Up - Country Inn By Carlson
Chawla's Tandoori Xpress,Happiness With Icing
Keeva Lounge & Bar,Andaaz E Paranthas
What A Shot,Kerala - Kingdom of Dreams
BunkYard Cafe,Cakes Town
2 Nice 2 Slice,Foodophiles
Chaat Vaat,"Vanshika Indian, Chinese and Parantha Corner"
Kanha Bhog,Tripti Sweets
The Sports Club,Grub Street
Rapti Chinese Food,Vee Jay's
The Sugar Story,PKay
Foodophiles,Smoky Chettinad
Empire The Meat Shop,Chennai Darbar
Havmor Ice Cream,Venus Dhaba
Sharma Sweets,Sanjha Chulha
Woods Spice,Bikanerwala Sweets
Hyderabadi Biryani House,Sachdeva Chicken Corner
Cake On Wheels,Kwic Bitte Restaurant
Ring of Fire,Fatafat Fast Food
Singh's Delhi Delight,Food Ka Mood
Kwic Bitte Restaurant,Cakes & Muffins
Delhi 6,Dilli Rasoi
Gulshan Di Chaap,Great Wall
Sky Grill,For Heaven's Cake!
Three Tuns Cafe & Bar,Roll Club
Cherry Fresh,Frosted Heaven
