State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,500,425,14-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,500,425,15-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,500,425,16-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,500,475,17-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,500,475,18-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,425,475,450,19-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,425,500,463,20-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,525,488,21-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,22-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,23-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,525,488,24-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,25-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,525,488,26-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,525,488,27-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,525,488,28-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,29-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,550,475,30-May-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,563,475,31-May-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,270,360,300,01-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,550,475,02-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,350,500,450,02-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,500,438,03-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,340,450,380,03-Jun-03
