State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1188,813,13-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1063,750,14-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,938,15-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,675,17-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,925,18-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,656,19-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1025,975,20-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,750,21-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1025,975,22-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1200,938,24-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1063,925,26-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,1031,0,27-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,950,700,28-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,938,700,29-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,938,700,31-Oct-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,938,700,01-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,975,700,03-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,969,700,04-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,300,950,625,05-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1063,775,07-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1050,775,08-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1094,775,09-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1250,750,10-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,350,1188,950,11-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,350,1200,750,12-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,350,1250,813,14-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,563,1250,825,15-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,563,1200,763,16-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,563,1200,813,17-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,563,1250,800,18-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1250,875,19-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1125,850,21-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1188,913,22-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,531,1188,800,23-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,725,1125,844,24-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,725,1125,850,25-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,763,1125,800,26-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,594,1125,638,28-Nov-05
